empresa_key,empresa_nome,ticker_yahoo,ticker_b3,moeda,setor,data_referencia,ano,mes,trimestre,periodo,preco_fechamento,volume_medio,market_cap_bi,pl_ratio,ev_ebitda,cambio_brl_usd,choque_periodo
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2015-08-01,2015,8,3,2015-Q3,4.38455867767334,327798800.0,25.03,9.2252245,,3.6467,Recessao_2015-16
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2015-09-01,2015,9,3,2015-Q3,3.7664411067962646,368106600.0,21.501,9.2252245,,3.9729,Recessao_2015-16
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2015-10-01,2015,10,4,2015-Q4,4.02250337600708,357023000.0,22.963,9.2252245,,3.8589,Recessao_2015-16
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2015-11-01,2015,11,4,2015-Q4,4.1031036376953125,303609200.0,23.423,9.2252245,,3.8506,Recessao_2015-16
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2015-12-01,2015,12,4,2015-Q4,3.7471578121185303,372278400.0,21.391,9.2252245,,3.9048,Recessao_2015-16
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2016-01-01,2016,1,1,2016-Q1,3.5765280723571777,271578200.0,20.417,9.2252245,,4.0428,Recessao_2015-16
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2016-02-01,2016,2,1,2016-Q1,3.496474027633667,330553800.0,19.96,9.2252245,,3.9796,Recessao_2015-16
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2016-03-01,2016,3,1,2016-Q1,5.105267524719238,814253000.0,29.144,9.2252245,,3.5589,Recessao_2015-16
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2016-04-01,2016,4,2,2016-Q2,5.76957368850708,281745400.0,32.937,9.2252245,,3.4508,Recessao_2015-16
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2016-05-01,2016,5,2,2016-Q2,4.297824382781982,518993400.0,24.535,9.2252245,,3.5951,Recessao_2015-16
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2016-06-01,2016,6,2,2016-Q2,4.518631458282471,467670600.0,25.795,9.2252245,,3.2098,Recessao_2015-16
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2016-07-01,2016,7,3,2016-Q3,5.582585334777832,445965200.0,31.869,9.2252245,,3.239,Recessao_2015-16
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2016-08-01,2016,8,3,2016-Q3,6.155429840087891,401351400.0,35.139,9.2252245,,3.2403,Recessao_2015-16
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2016-09-01,2016,9,3,2016-Q3,6.08486795425415,313543000.0,34.737,9.2252245,,3.2462,Recessao_2015-16
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2016-10-01,2016,10,4,2016-Q4,7.8603010177612305,374052400.0,44.872,9.2252245,,3.1811,Recessao_2015-16
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2016-11-01,2016,11,4,2016-Q4,7.648295879364014,402960800.0,43.662,9.2252245,,3.3967,Recessao_2015-16
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2016-12-01,2016,12,4,2016-Q4,7.567619800567627,295259600.0,43.201,9.2252245,,3.2591,Recessao_2015-16
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2017-01-01,2017,1,1,2017-Q1,8.40633773803711,274775800.0,47.989,9.2252245,,3.127,Periodo_Normal
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2017-02-01,2017,2,1,2017-Q1,8.944062232971191,259901400.0,51.059,9.2252245,,3.0993,Periodo_Normal
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2017-03-01,2017,3,1,2017-Q1,9.125101089477539,316513800.0,52.092,9.2252245,,3.1684,Periodo_Normal
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2017-04-01,2017,4,2,2017-Q2,8.902210235595703,245537200.0,50.82,9.2252245,,3.1984,Periodo_Normal
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2017-05-01,2017,5,2,2017-Q2,7.6800217628479,410239200.0,43.843,9.2252245,,3.2437,Periodo_Normal
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2017-06-01,2017,6,2,2017-Q2,7.312829971313477,330350200.0,41.747,9.2252245,,3.3082,Periodo_Normal
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2017-07-01,2017,7,3,2017-Q3,7.85398006439209,241428600.0,44.836,9.2252245,,3.1307,Periodo_Normal
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2017-08-01,2017,8,3,2017-Q3,8.401298522949219,331633800.0,47.96,9.2252245,,3.1471,Periodo_Normal
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2017-09-01,2017,9,3,2017-Q3,9.61439323425293,345799600.0,54.886,9.2252245,,3.168,Periodo_Normal
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2017-10-01,2017,10,4,2017-Q4,9.509117126464844,312371200.0,54.285,9.2252245,,3.2769,Periodo_Normal
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2017-11-01,2017,11,4,2017-Q4,8.263875961303711,372348400.0,47.176,9.2252245,,3.2616,Periodo_Normal
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2017-12-01,2017,12,4,2017-Q4,8.845282554626465,302684600.0,50.495,9.2252245,,3.308,Periodo_Normal
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2018-01-01,2018,1,1,2018-Q1,11.059950828552246,435887800.0,63.138,9.2252245,,3.1624,Periodo_Normal
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2018-02-01,2018,2,1,2018-Q1,11.650856018066406,351275200.0,66.511,9.2252245,,3.2449,Periodo_Normal
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2018-03-01,2018,3,1,2018-Q1,11.436232566833496,401777400.0,65.286,9.2252245,,3.3238,Periodo_Normal
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2018-04-01,2018,4,2,2018-Q2,10.308756828308105,348965600.0,58.849,9.2252245,,3.4811,Periodo_Normal
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2018-05-01,2018,5,2,2018-Q2,8.530707359313965,490574800.0,48.699,9.2252245,,3.737,Periodo_Normal
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2018-06-01,2018,6,2,2018-Q2,8.101896286010742,627787000.0,46.251,9.2252245,,3.8558,Periodo_Normal
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2018-07-01,2018,7,3,2018-Q3,9.217939376831055,440135400.0,52.622,9.2252245,,3.7549,Periodo_Normal
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2018-08-01,2018,8,3,2018-Q3,8.53722858428955,515983200.0,48.736,9.2252245,,4.1353,Periodo_Normal
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2018-09-01,2018,9,3,2018-Q3,8.430678367614746,438006800.0,48.128,9.2252245,,4.0039,Periodo_Normal
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2018-10-01,2018,10,4,2018-Q4,12.276073455810547,920946600.0,70.08,9.2252245,,3.7177,Periodo_Normal
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2018-11-01,2018,11,4,2018-Q4,12.815932273864746,491070800.0,73.162,9.2252245,,3.8633,Periodo_Normal
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2018-12-01,2018,12,4,2018-Q4,13.607919692993164,324668800.0,77.683,9.2252245,,3.8748,Periodo_Normal
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2019-01-01,2019,1,1,2019-Q1,15.224262237548828,448404400.0,86.911,9.2252245,,3.6519,Periodo_Normal
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2019-02-01,2019,2,1,2019-Q1,14.854365348815918,488475000.0,84.799,9.2252245,,3.7385,Periodo_Normal
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2019-03-01,2019,3,1,2019-Q1,14.463379859924316,459226200.0,82.567,9.2252245,,3.8967,Periodo_Normal
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2019-04-01,2019,4,2,2019-Q2,14.791288375854492,466916800.0,84.439,9.2252245,,3.9453,Periodo_Normal
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2019-05-01,2019,5,2,2019-Q2,15.43736743927002,479212400.0,88.127,9.2252245,,3.9407,Periodo_Normal
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2019-06-01,2019,6,2,2019-Q2,16.196107864379883,420152800.0,92.459,9.2252245,,3.8322,Periodo_Normal
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2019-07-01,2019,7,3,2019-Q3,14.826811790466309,462005000.0,84.642,9.2252245,,3.7649,Periodo_Normal
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2019-08-01,2019,8,3,2019-Q3,13.929133415222168,449178200.0,79.517,9.2252245,,4.1385,Periodo_Normal
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2019-09-01,2019,9,3,2019-Q3,13.833551406860352,406580800.0,78.971,9.2252245,,4.1644,Periodo_Normal
